Model_Name,Model_link
"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/walton-passion-bx710u-core-i7-10th-gen-laptop
"Asus VivoBook 15 X1505ZA OLED Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x1505za-oled-core-i3-12th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 14"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-fhd-laptop
"HUAWEI MateBook B3-520 Core i5 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/huawei-matebook-b3-520-core-i5-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i5 11th Gen 8 GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i5-11th-gen-8-gb-ram-15-6-fhd-laptop
"Acer Aspire 3 A315-59 Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-3-a315-59-core-i5-12th-gen-laptop
"Dell Latitude 3520 Core i5 11th Gen 15.6"" HD Laptop",https://www.startech.com.bd/dell-latitude-3520-core-i5-11th-gen-laptop
"DOEL T10 Core i7 10th Gen 14"" FHD Laptop",https://www.startech.com.bd/doel-t10-core-i7-10th-gen-laptop
"HP 14s-dq5110TU Core i5 12th Gen 14"" FHD Laptop",https://www.startech.com.bd/hp-14s-dq5110tu-core-i5-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 15ITL Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop with 03 Years Warranty",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15itl-i5-11th-gen-fhd-laptop
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14"" FHD Laptop",https://www.startech.com.bd/acer-extensa-14-ex214-53-543w-core-i5-12th-gen-laptop
"HP 15s-fq5192TU Core i5 12th Gen 15.6"" HD Laptop",https://www.startech.com.bd/hp-15s-fq5192tu-core-i5-12th-gen-laptop
"Huawei MateBook D15 Core i5 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/huawei-matebook-d-15-core-i5-11th-gen-laptop
"Huawei MateBook B3-420 Core i5 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/huawei-matebook-b3-420-core-i5-11th-gen-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-fhd-laptop
"HP 15s-fq5620TU Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15s-fq5620tu-core-i5-12th-gen-laptop
"Dell Inspiron 15 3520 Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/dell-inspiron-15-3520-core-i5-fhd-laptop
"Acer TravelMate TMP214-53 Core i7 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i7-11th-gen-laptop
"Lenovo IdeaPad Slim 5i Core i5 11th Gen 512GB SSD MX450 2GB Graphics 14"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5i-core-i5-11th-gen-fhd-laptop
"Lenovo ThinkBook 14 Gen 2 ITL Core i5 11th Gen 512GB 14"" FHD Laptop",https://www.startech.com.bd/lenovo-thinkbook-14-gen-2-itl-core-i5-11th-gen-fhd-laptop
"HP ProBook 440 G8 Core i5 11th Gen 14"" HD Laptop",https://www.startech.com.bd/hp-probook-440-g8-core-i5-11th-gen-hd-laptop
"Lenovo IdeaPad Slim 5i Core i5 11th Gen 256GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5i-core-i5-fhd-laptop
"Walton Tamarind MX711G Core i7 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/walton-tamarind-mx711g-core-i7-11th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-12th-gen-fhd-laptop
"Acer TravelMate TMP214-53 Core i7 11th Gen 512GB SSD 14"" FHD Laptop",https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i7-11th-gen-fhd-laptop
"Dell Vostro 14 3400 Core i7 11th Gen MX330 2GB Graphics 14"" FHD Laptop With Backlit Keyboard",https://www.startech.com.bd/dell-vostro-14-3400-core-i7-laptop
"Acer Aspire 7 A715-42G-R2NE Ryzen 5 5500U GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/acer-aspire-7-a715-42g-r2ne-ryzen-5-5500u-gaming-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 15.6"" FHD Laptop Abyss Blue",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-laptop
"Lenovo IdeaPad Gaming 3i Core i5 11th Gen GTX1650 4GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3i-11th-gen-core-i5-laptop
"Samsung Galaxy Book Core i5 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/samsung-galaxy-book-core-i5-11th-gen-laptop
"Lenovo IdeaPad Gaming 3i Core i5 11th Gen RTX 3050 4GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3i-core-i5-11th-gen-full-hd-laptop
"Asus ExpertBook B1 B1500CEAE Core i5 11th Gen 1TB HDD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-core-i5-11th-gen-fhd-laptop
